Idempresa,N_Sucursal,Codigoct,Idtransformador,Idalimentador,Cantusubt,Tipoinstalacion,Nro de circuito,Resultado Circuito,Codigo,N_Ubicacio,Potencia,Marca,Chapa,Q_Usuarios,N_Localida,Expr1016,Nro_EPRE,Resultado,P o G,Alimentador,N_Alimenta,Tipo_Alimentador,Nro de medicion,Coord_X,Coord_Y
E,CIPOLLETTI,A004,1.0,SA004-1,54,M,1.0,Penalizado,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0041G0,Penalizada,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A004,1.0,SA004-1,54,M,1.0,Penalizado,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0041G1,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A004,1.0,SA004-1,54,M,1.0,Penalizado,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0041P0,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A004,1.0,SA004-1,54,M,1.0,Penalizado,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0041P1,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A004,1.0,SA004-2,1,M,2.0,Correcto,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0042P0,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A004,1.0,SA004-2,1,M,2.0,Correcto,A004,"SARMIENTO Y FDEZ. ORO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,1564.0,55.0,CIPOLLETTI,FERNANDEZ ORO - C,A0042G0,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.994128982895,-38.941939972434
E,CIPOLLETTI,A005,1.0,SA005-2,0,M,2.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A005,1.0,SA005-3,12,M,3.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A005,1.0,SA005-4,116,M,4.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A005,1.0,SA005-6,0,M,6.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A005,1.0,SA005-7,191,M,7.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A005,1.0,SA005-8,131,M,8.0,Sin medir,A005,"SAN MARTIN Y BRENTANA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,4.0,437.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.990303020513,-38.941601026957
E,CIPOLLETTI,A007,1.0,SA007-1,192,M,1.0,Sin medir,A007,"CERAMICA RIO NEGRO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,1570.0,473.0,CIPOLLETTI,BRENTANA,,,-,,BRENTANA,,-1,-67.983166023576,-38.940634030951
E,CIPOLLETTI,A007,1.0,SA007-2,261,M,2.0,Sin medir,A007,"CERAMICA RIO NEGRO 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,1570.0,473.0,CIPOLLETTI,BRENTANA,,,-,,BRENTANA,,-1,-67.983166023576,-38.940634030951
E,CIPOLLETTI,A008,1.0,SA008-1,96,M,1.0,Correcto,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0081P0,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-1,96,M,1.0,Correcto,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0081G0,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-2,167,M,2.0,Fallido,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0082P0,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-2,167,M,2.0,Fallido,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0082G0,Fallida,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-2,167,M,2.0,Fallido,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0082G1,Fallida,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-2,167,M,2.0,Fallido,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0082G2,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,2,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-3,95,M,3.0,Sin medir,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,,,-,,FERNANDEZ ORO - C,,-1,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084P2,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,2,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084P1,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084G1,Penalizada,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084G0,Penalizada,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084P0,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A008,1.0,SA008-4,89,M,4.0,Penalizado,A008,"BRENTANA Y TTE. IBAÐEZ 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,6177.0,439.0,CIPOLLETTI,FERNANDEZ ORO - C,A0084G2,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,2,-67.987791982725,-38.936165974307
E,CIPOLLETTI,A009,1.0,SA009-1,51,M,1.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0091G0,Penalizada,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-1,51,M,1.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0091P0,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-2,72,M,2.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0092P0,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-2,72,M,2.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0092G0,Correcta,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-3,163,M,3.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0093P0,Penalizada,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-3,163,M,3.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0093G1,Penalizada,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-3,163,M,3.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0093G0,Fallida,G,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,0,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A009,1.0,SA009-3,163,M,3.0,Penalizado,A009,"DON BOSCO Y BOLIVIA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,5675.0,293.0,CIPOLLETTI,FERNANDEZ ORO - C,A0093P1,Correcta,P,FERNANDEZ ORO - C,FERNANDEZ ORO - C,Urbano,1,-67.98760298241,-38.931552982927
E,CIPOLLETTI,A010,1.0,SA010-1,121,M,1.0,Sin medir,A010,"PRIMEROS POBLADORES Y PERU 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",200.0,NED,1457.0,125.0,CIPOLLETTI,BRENTANA,,,-,,BRENTANA,,-1,-67.985055007217,-38.928920995616
E,CIPOLLETTI,A010,1.0,SA010-2,3,M,2.0,Fallido,A010,"PRIMEROS POBLADORES Y PERU 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",200.0,NED,1457.0,125.0,CIPOLLETTI,BRENTANA,A0102P0,Correcta,P,BRENTANA,BRENTANA,Urbano,0,-67.985055007217,-38.928920995616
E,CIPOLLETTI,A010,1.0,SA010-2,3,M,2.0,Fallido,A010,"PRIMEROS POBLADORES Y PERU 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",200.0,NED,1457.0,125.0,CIPOLLETTI,BRENTANA,A0102G1,Correcta,G,BRENTANA,BRENTANA,Urbano,1,-67.985055007217,-38.928920995616
E,CIPOLLETTI,A010,1.0,SA010-2,3,M,2.0,Fallido,A010,"PRIMEROS POBLADORES Y PERU 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",200.0,NED,1457.0,125.0,CIPOLLETTI,BRENTANA,A0102G0,Fallida,G,BRENTANA,BRENTANA,Urbano,0,-67.985055007217,-38.928920995616
E,CIPOLLETTI,A011,1.0,SA011-1,299,M,1.0,Penalizado,A011,"BOLIVIA Y ESTRADA (3X100) 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,5688.0,393.0,CIPOLLETTI,BRENTANA,A0111G2,Penalizada,G,BRENTANA,BRENTANA,Urbano,2,-67.98176397062,-38.931460029002
E,CIPOLLETTI,A011,1.0,SA011-1,299,M,1.0,Penalizado,A011,"BOLIVIA Y ESTRADA (3X100) 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,5688.0,393.0,CIPOLLETTI,BRENTANA,A0111P2,Penalizada,P,BRENTANA,BRENTANA,Urbano,2,-67.98176397062,-38.931460029002
E,CIPOLLETTI,A011,1.0,SA011-2,87,M,2.0,Sin medir,A011,"BOLIVIA Y ESTRADA (3X100) 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",500.0,NED,5688.0,393.0,CIPOLLETTI,BRENTANA,,,-,,BRENTANA,,-1,-67.98176397062,-38.931460029002
E,CIPOLLETTI,A012,1.0,SA012-1,147,M,1.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0121G0,Correcta,G,BRENTANA,BRENTANA,Urbano,0,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-1,147,M,1.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0121P0,Penalizada,P,BRENTANA,BRENTANA,Urbano,0,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-2,11,M,2.0,Sin medir,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,,,-,,BRENTANA,,-1,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123G1,Fallida,G,BRENTANA,BRENTANA,Urbano,1,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123G0,Fallida,G,BRENTANA,BRENTANA,Urbano,0,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123G2,Correcta,G,BRENTANA,BRENTANA,Urbano,2,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123P2,Correcta,P,BRENTANA,BRENTANA,Urbano,2,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123P1,Correcta,P,BRENTANA,BRENTANA,Urbano,1,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A012,1.0,SA012-3,79,M,3.0,Penalizado,A012,"NAC. UNIDAS Y CHILE 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,640.0,231.0,CIPOLLETTI,BRENTANA,A0123P0,Penalizada,P,BRENTANA,BRENTANA,Urbano,0,-67.979414014428,-38.933272018988
E,CIPOLLETTI,A013,1.0,SA013-1,109,M,1.0,Sin medir,A013,"VENEZUELA Y PROS. POBLADORES 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,5291.0,213.0,CIPOLLETTI,SANTA CRUZ,,,-,,SANTA CRUZ,,-1,-67.985201972606,-38.925832035806
E,CIPOLLETTI,A013,1.0,SA013-2,98,M,2.0,Penalizado,A013,"VENEZUELA Y PROS. POBLADORES 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,5291.0,213.0,CIPOLLETTI,SANTA CRUZ,A0132P0,Penalizada,P,8 CENTRAL CIPOLLETTI,SANTA CRUZ,Urbano,0,-67.985201972606,-38.925832035806
E,CIPOLLETTI,A013,1.0,SA013-2,98,M,2.0,Penalizado,A013,"VENEZUELA Y PROS. POBLADORES 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,5291.0,213.0,CIPOLLETTI,SANTA CRUZ,A0132P1,Correcta,P,8 CENTRAL CIPOLLETTI,SANTA CRUZ,Urbano,1,-67.985201972606,-38.925832035806
E,CIPOLLETTI,A013,1.0,SA013-2,98,M,2.0,Penalizado,A013,"VENEZUELA Y PROS. POBLADORES 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,5291.0,213.0,CIPOLLETTI,SANTA CRUZ,A0132G0,Correcta,G,8 CENTRAL CIPOLLETTI,SANTA CRUZ,Urbano,0,-67.985201972606,-38.925832035806
E,CIPOLLETTI,A013,1.0,SA013-2,98,M,2.0,Penalizado,A013,"VENEZUELA Y PROS. POBLADORES 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",400.0,NED,5291.0,213.0,CIPOLLETTI,SANTA CRUZ,A0132G1,Correcta,G,8 CENTRAL CIPOLLETTI,SANTA CRUZ,Urbano,1,-67.985201972606,-38.925832035806
E,CIPOLLETTI,A015,1.0,SA015-1,93,M,1.0,Correcto,A015,"VENEZUELA Y ESMERALDA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,7794.0,185.0,CIPOLLETTI,SANTA CRUZ,A0151P0,Correcta,P,SANTA CRUZ,SANTA CRUZ,Urbano,0,-67.995153035222,-38.925835017059
E,CIPOLLETTI,A015,1.0,SA015-1,93,M,1.0,Correcto,A015,"VENEZUELA Y ESMERALDA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,7794.0,185.0,CIPOLLETTI,SANTA CRUZ,A0151G0,Correcta,G,SANTA CRUZ,SANTA CRUZ,Urbano,0,-67.995153035222,-38.925835017059
E,CIPOLLETTI,A015,1.0,SA015-2,89,M,2.0,Correcto,A015,"VENEZUELA Y ESMERALDA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,7794.0,185.0,CIPOLLETTI,SANTA CRUZ,A0152G0,Correcta,G,SANTA CRUZ,SANTA CRUZ,Urbano,0,-67.995153035222,-38.925835017059
E,CIPOLLETTI,A015,1.0,SA015-2,89,M,2.0,Correcto,A015,"VENEZUELA Y ESMERALDA 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",315.0,NED,7794.0,185.0,CIPOLLETTI,SANTA CRUZ,A0152P0,Correcta,P,SANTA CRUZ,SANTA CRUZ,Urbano,0,-67.995153035222,-38.925835017059
E,CIPOLLETTI,A016,1.0,SA016-1,135,M,1.0,Sin medir,A016,"MENGUELLE Y PERU 0 (CIPOLLETTI - GENERAL ROCA, RIO NEGRO-RIO NEGRO)",630.0,NED,5730.0,312.0,CIPOLLETTI,SANTA CRUZ,,,-,,SANTA CRUZ,,-1,-67.998087010228,-38.928843024397
